date,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,rain_1h,clouds_all,weather_description
2023-03-15 00:00,9.58,9.58,7.0,11.28,1023,92,1.09,,54,broken clouds
2023-03-15 01:00,9.57,9.57,7.0,10.72,1023,92,0.93,,100,overcast clouds
2023-03-15 02:00,9.09,8.73,8.23,10.17,1022,93,1.39,,100,overcast clouds
2023-03-15 03:00,9.03,8.15,7.23,9.61,1022,93,1.9,,100,overcast clouds
2023-03-15 04:00,9.45,8.38,5.33,9.66,1021,93,2.22,,100,overcast clouds
2023-03-15 05:00,8.4,7.02,4.77,9.3,1021,93,2.38,,100,overcast clouds
2023-03-15 06:00,8.84,7.41,4.22,9.3,1020,91,2.56,,100,overcast clouds
2023-03-15 07:00,8.89,7.32,4.77,9.1,1020,88,2.77,,94,overcast clouds
2023-03-15 08:00,10.68,9.87,7.3,10.77,1019,79,2.63,,24,few clouds
2023-03-15 09:00,12.89,12.14,8.5,12.99,1019,73,2.17,,0,sky is clear
2023-03-15 10:00,15.17,14.39,12.3,15.21,1019,63,2.07,,0,sky is clear
2023-03-15 11:00,17.93,17.32,15.23,17.99,1018,59,1.66,,0,sky is clear
2023-03-15 12:00,19.02,18.39,17.23,19.1,1018,54,1.85,,0,sky is clear
2023-03-15 13:00,20.19,19.36,18.41,20.41,1017,42,2.18,,0,sky is clear
2023-03-15 14:00,20.49,19.64,14.61,21.52,1016,40,2.62,,0,sky is clear
2023-03-15 15:00,21.26,20.46,19.23,22.08,1015,39,2.83,,0,sky is clear
2023-03-15 16:00,21.08,20.37,16.28,23.11,1014,43,2.53,,0,sky is clear
2023-03-15 17:00,21.03,20.39,16.28,21.33,1014,46,2.08,,0,sky is clear
2023-03-15 18:00,16.05,15.46,15.72,16.74,1014,67,1.96,,0,sky is clear
2023-03-15 19:00,13.91,13.03,13.23,15.17,1014,64,1.94,,0,sky is clear
2023-03-15 20:00,12.9,12.1,11.23,14.85,1015,71,0.85,,0,sky is clear
2023-03-15 21:00,13.38,12.58,10.23,14.3,1014,69,0.77,,0,sky is clear
2023-03-15 22:00,13.38,12.58,10.89,13.55,1014,69,1.95,,26,scattered clouds
2023-03-15 23:00,10.95,10.32,10.23,12.39,1014,85,2.0,,83,broken clouds
2023-03-16 00:00,10.49,9.84,9.22,11.83,1013,86,1.88,,99,overcast clouds
2023-03-16 01:00,10.09,9.48,8.11,11.74,1012,89,2.0,,98,overcast clouds
2023-03-16 02:00,8.93,8.03,7.55,11.19,1012,90,1.9,,97,overcast clouds
2023-03-16 03:00,9.13,8.27,7.55,11.19,1011,91,1.89,,100,overcast clouds
2023-03-16 04:00,9.02,8.23,7.0,10.63,1010,92,1.8,,100,overcast clouds
2023-03-16 05:00,8.42,7.61,7.0,10.08,1010,92,1.72,,100,overcast clouds
2023-03-16 06:00,10.62,9.77,8.23,10.77,1010,78,1.79,,100,overcast clouds
2023-03-16 07:00,10.62,9.77,8.23,10.77,1010,78,1.43,,100,overcast clouds
2023-03-16 08:00,11.7,10.94,9.05,12.08,1011,77,1.62,,99,overcast clouds
2023-03-16 09:00,12.36,11.69,10.17,13.19,1011,78,2.07,,100,overcast clouds
2023-03-16 10:00,13.49,13.01,11.83,14.3,1011,81,3.31,,100,overcast clouds
2023-03-16 11:00,15.14,14.69,12.94,17.08,1010,76,3.91,,98,overcast clouds
2023-03-16 12:00,16.89,16.33,16.19,18.74,1010,65,3.97,,98,overcast clouds
2023-03-16 13:00,18.3,17.65,14.23,19.85,1009,56,4.33,,100,overcast clouds
2023-03-16 14:00,17.89,17.28,14.23,19.77,1008,59,4.41,0.5,100,light rain
2023-03-16 15:00,16.24,15.85,14.05,18.66,1008,74,4.38,0.42,97,light rain
2023-03-16 16:00,14.65,14.31,13.41,15.33,1008,82,4.25,0.76,98,light rain
2023-03-16 17:00,14.63,14.24,13.23,15.89,1009,80,3.97,1.24,99,moderate rain
2023-03-16 18:00,14.61,14.22,12.23,15.33,1009,80,3.38,1.6,97,moderate rain
2023-03-16 19:00,13.49,13.14,12.23,14.22,1009,86,3.42,1.85,100,moderate rain
2023-03-16 20:00,12.97,12.72,11.74,13.66,1009,92,3.82,0.99,100,light rain
2023-03-16 21:00,12.49,12.22,12.3,13.23,1009,93,3.54,0.95,100,light rain
2023-03-16 22:00,12.48,12.21,12.08,13.23,1010,93,3.01,0.68,82,light rain
2023-03-16 23:00,11.95,11.63,11.52,13.23,1010,93,2.92,0.33,53,light rain
2023-03-17 00:00,11.94,11.62,10.96,13.23,1010,93,3.19,0.28,49,light rain
2023-03-17 01:00,11.93,11.58,10.96,13.23,1010,92,3.23,0.45,84,light rain
2023-03-17 02:00,11.89,11.56,11.74,12.39,1010,93,3.67,0.38,100,light rain
2023-03-17 03:00,11.37,10.99,10.63,12.23,1010,93,4.12,0.68,100,light rain
2023-03-17 04:00,11.5,11.08,10.08,12.23,1010,91,4.09,0.35,100,light rain
2023-03-17 05:00,10.78,10.32,10.41,11.28,1010,92,3.97,0.6,100,light rain
2023-03-17 06:00,10.82,10.36,9.85,12.23,1011,92,4.25,0.4,100,light rain
2023-03-17 07:00,10.85,10.42,10.41,12.23,1011,93,4.68,0.68,100,light rain
2023-03-17 08:00,11.37,10.99,10.96,12.23,1011,93,5.34,0.51,99,light rain
2023-03-17 09:00,11.44,11.09,10.41,13.23,1012,94,5.64,1.49,76,moderate rain
2023-03-17 10:00,11.91,11.53,11.52,12.85,1012,91,6.55,3.1,60,moderate rain
2023-03-17 11:00,11.9,11.57,11.19,12.55,1012,93,6.76,3.36,56,moderate rain
2023-03-17 12:00,12.99,12.67,12.08,13.11,1013,89,5.14,1.4,91,moderate rain
2023-03-17 13:00,13.51,13.01,11.52,14.05,1013,80,4.75,0.62,75,light rain
2023-03-17 14:00,13.56,13.09,13.41,14.23,1013,81,5.05,1.5,74,moderate rain
2023-03-17 15:00,12.55,12.05,12.3,14.23,1013,84,5.86,1.65,58,moderate rain
2023-03-17 16:00,12.25,11.91,11.88,14.05,1013,91,5.58,1.93,81,moderate rain
2023-03-17 17:00,11.95,11.55,11.19,13.23,1014,90,5.3,1.23,70,moderate rain
2023-03-17 18:00,11.45,11.0,11.19,13.5,1014,90,4.42,0.35,75,light rain
2023-03-17 19:00,10.37,9.84,10.21,12.94,1014,91,3.4,0.31,93,light rain
2023-03-17 20:00,10.38,9.9,10.21,13.23,1015,93,3.3,0.26,90,light rain
2023-03-17 21:00,10.36,9.91,10.21,12.39,1015,94,3.0,0.27,84,light rain
2023-03-17 22:00,10.26,9.77,10.21,11.23,1016,93,3.03,0.17,74,light rain
2023-03-17 23:00,10.81,10.37,9.85,11.83,1016,93,2.47,0.15,60,light rain
2023-03-18 00:00,10.95,10.56,9.85,11.28,1016,94,2.06,0.23,56,light rain
2023-03-18 01:00,10.51,9.99,9.52,11.28,1016,91,2.0,0.56,68,light rain
2023-03-18 02:00,10.22,9.75,9.52,10.72,1016,94,2.05,0.38,62,light rain
2023-03-18 03:00,10.26,9.8,9.85,11.23,1016,94,2.1,0.37,85,light rain
2023-03-18 04:00,10.22,9.75,9.85,10.72,1016,94,2.33,0.46,100,light rain
2023-03-18 05:00,10.26,9.8,10.08,11.23,1016,94,2.38,0.8,100,light rain
2023-03-18 06:00,10.26,9.8,10.08,11.23,1017,94,2.25,0.85,100,light rain
2023-03-18 07:00,10.76,10.37,10.08,10.96,1017,95,2.22,0.9,97,light rain
2023-03-18 08:00,10.78,10.39,10.08,11.52,1018,95,2.18,0.52,81,light rain
2023-03-18 09:00,11.36,11.03,11.19,13.19,1019,95,1.97,0.14,100,light rain
2023-03-18 10:00,11.9,11.63,11.83,13.23,1019,95,2.92,0.11,56,light rain
2023-03-18 11:00,12.47,12.23,12.3,14.23,1019,94,3.66,,70,broken clouds
2023-03-18 12:00,13.51,13.37,12.3,14.85,1020,94,3.84,,45,scattered clouds
2023-03-18 13:00,13.53,13.31,12.94,13.55,1020,91,4.04,,83,broken clouds
2023-03-18 14:00,15.1,14.78,12.94,15.96,1019,81,4.61,,87,overcast clouds
2023-03-18 15:00,15.17,14.86,13.5,15.21,1020,81,5.13,0.1,90,light rain
2023-03-18 16:00,14.6,14.2,13.41,16.52,1020,80,5.26,0.12,75,light rain
2023-03-18 17:00,14.58,14.21,13.23,15.41,1020,81,4.48,,50,scattered clouds
2023-03-18 18:00,13.49,13.06,12.23,14.3,1021,83,3.58,,40,scattered clouds
