dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1678838400,2023-03-15 00:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,9.58,,8.35,9.58,7.0,11.28,1023,,,92,1.09,81,,,,,,54,803,Clouds,broken clouds,04n
1678842000,2023-03-15 01:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,9.57,,8.34,9.57,7.0,10.72,1023,,,92,0.93,64,,,,,,100,804,Clouds,overcast clouds,04n
1678845600,2023-03-15 02:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,9.09,,8.02,8.73,8.23,10.17,1022,,,93,1.39,64,,,,,,100,804,Clouds,overcast clouds,04n
1678849200,2023-03-15 03:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,9.03,,7.96,8.15,7.23,9.61,1022,,,93,1.9,67,,,,,,100,804,Clouds,overcast clouds,04n
1678852800,2023-03-15 04:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,9.45,,8.38,8.38,5.33,9.66,1021,,,93,2.22,68,,,,,,100,804,Clouds,overcast clouds,04n
1678856400,2023-03-15 05:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,8.4,,7.34,7.02,4.77,9.3,1021,,,93,2.38,68,,,,,,100,804,Clouds,overcast clouds,04n
1678860000,2023-03-15 06:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,8.84,,7.45,7.41,4.22,9.3,1020,,,91,2.56,70,,,,,,100,804,Clouds,overcast clouds,04n
1678863600,2023-03-15 07:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,8.89,,7.01,7.32,4.77,9.1,1020,,,88,2.77,74,,,,,,94,804,Clouds,overcast clouds,04d
1678867200,2023-03-15 08:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,10.68,,7.19,9.87,7.3,10.77,1019,,,79,2.63,77,,,,,,24,801,Clouds,few clouds,02d
1678870800,2023-03-15 09:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,12.89,,8.17,12.14,8.5,12.99,1019,,,73,2.17,84,,,,,,0,800,Clear,sky is clear,01d
1678874400,2023-03-15 10:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,15.17,,8.18,14.39,12.3,15.21,1019,,,63,2.07,95,,,,,,0,800,Clear,sky is clear,01d
1678878000,2023-03-15 11:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,17.93,,9.81,17.32,15.23,17.99,1018,,,59,1.66,116,,,,,,0,800,Clear,sky is clear,01d
1678881600,2023-03-15 12:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,19.02,,9.51,18.39,17.23,19.1,1018,,,54,1.85,141,,,,,,0,800,Clear,sky is clear,01d
1678885200,2023-03-15 13:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,20.19,,6.88,19.36,18.41,20.41,1017,,,42,2.18,165,,,,,,0,800,Clear,sky is clear,01d
1678888800,2023-03-15 14:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,20.49,,6.44,19.64,14.61,21.52,1016,,,40,2.62,175,,,,,,0,800,Clear,sky is clear,01d
1678892400,2023-03-15 15:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,21.26,,6.76,20.46,19.23,22.08,1015,,,39,2.83,175,,,,,,0,800,Clear,sky is clear,01d
1678896000,2023-03-15 16:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,21.08,,8.03,20.37,16.28,23.11,1014,,,43,2.53,185,,,,,,0,800,Clear,sky is clear,01d
1678899600,2023-03-15 17:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,21.03,,8.98,20.39,16.28,21.33,1014,,,46,2.08,228,,,,,,0,800,Clear,sky is clear,01d
1678903200,2023-03-15 18:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,16.05,,9.93,15.46,15.72,16.74,1014,,,67,1.96,261,,,,,,0,800,Clear,sky is clear,01d
1678906800,2023-03-15 19:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,13.91,,7.22,13.03,13.23,15.17,1014,,,64,1.94,283,,,,,,0,800,Clear,sky is clear,01n
1678910400,2023-03-15 20:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,12.9,,7.78,12.1,11.23,14.85,1015,,,71,0.85,328,,,,,,0,800,Clear,sky is clear,01n
1678914000,2023-03-15 21:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,13.38,,7.82,12.58,10.23,14.3,1014,,,69,0.77,86,,,,,,0,800,Clear,sky is clear,01n
1678917600,2023-03-15 22:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,13.38,,7.82,12.58,10.89,13.55,1014,,,69,1.95,106,,,,,,26,802,Clouds,scattered clouds,03n
1678921200,2023-03-15 23:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,10.95,,8.53,10.32,10.23,12.39,1014,,,85,2.0,104,,,,,,83,803,Clouds,broken clouds,04n
1678924800,2023-03-16 00:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,10.49,,8.25,9.84,9.22,11.83,1013,,,86,1.88,103,,,,,,99,804,Clouds,overcast clouds,04n
1678928400,2023-03-16 01:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,10.09,,8.36,9.48,8.11,11.74,1012,,,89,2.0,101,,,,,,98,804,Clouds,overcast clouds,04n
1678932000,2023-03-16 02:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,8.93,,7.38,8.03,7.55,11.19,1012,,,90,1.9,106,,,,,,97,804,Clouds,overcast clouds,04n
1678935600,2023-03-16 03:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,9.13,,7.74,8.27,7.55,11.19,1011,,,91,1.89,118,,,,,,100,804,Clouds,overcast clouds,04n
1678939200,2023-03-16 04:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,9.02,,7.79,8.23,7.0,10.63,1010,,,92,1.8,124,,,,,,100,804,Clouds,overcast clouds,04n
1678942800,2023-03-16 05:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,8.42,,7.2,7.61,7.0,10.08,1010,,,92,1.72,124,,,,,,100,804,Clouds,overcast clouds,04n
1678946400,2023-03-16 06:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,10.62,,6.95,9.77,8.23,10.77,1010,,,78,1.79,130,,,,,,100,804,Clouds,overcast clouds,04n
1678950000,2023-03-16 07:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,10.62,,6.95,9.77,8.23,10.77,1010,,,78,1.43,145,,,,,,100,804,Clouds,overcast clouds,04d
1678953600,2023-03-16 08:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,11.7,,7.81,10.94,9.05,12.08,1011,,,77,1.62,156,,,,,,99,804,Clouds,overcast clouds,04d
1678957200,2023-03-16 09:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,12.36,,8.64,11.69,10.17,13.19,1011,,,78,2.07,175,,,,,,100,804,Clouds,overcast clouds,04d
