normal_consume,consumption_in_period,autoconsume,injection,temp_max,humidity,hour,taxa_autoconsumo,hora_partida,injection_tentativa,is_sunny
0.528,0.0,0.0,0,18.68,93,0,0.0,0,-0.53,0
0.404,0.0,0.0,0,16.82,93,1,0.0,0,-0.4,0
0.308,0.0,0.0,0,16.72,93,2,0.0,0,-0.31,0
0.308,0.0,0.0,0,16.72,93,3,0.0,0,-0.31,0
0.395,0.0,0.0,0,15.72,93,4,0.0,0,-0.4,0
0.309,0.0,0.0,0,15.72,93,5,0.0,0,-0.31,0
0.307,0.0,0.0,0,15.15,93,6,0.0,0,-0.31,0
0.31,0.0,0.0,0,15.72,93,7,0.0,1,-0.31,0
0.276,0.0,0.014,0,15.72,93,8,0.05,1,-0.26,1
0.179,0.0,0.153,1,16.72,93,9,0.46,1,-0.03,1
0.246,0.0,0.312,2,17.93,90,10,0.56,1,0.07,1
0.847,0.0,0.432,1,18.12,89,11,0.34,1,-0.42,1
1.089,0.0,0.305,1,18.44,88,12,0.22,1,-0.78,1
1.024,0.0,0.372,1,19.54,84,13,0.27,1,-0.65,1
1.221,0.0,0.339,1,19.04,81,14,0.22,1,-0.88,1
0.777,0.0,0.147,0,18.48,82,15,0.16,1,-0.63,1
0.687,0.0,0.108,0,17.93,85,16,0.13,1,-0.58,1
0.818,0.0,0.071,0,17.93,86,17,0.08,1,-0.75,1
0.842,0.0,0.01,0,17.37,87,18,0.01,1,-0.83,0
0.848,0.0,0.0,0,17.33,90,19,0.0,0,-0.85,0
0.619,0.0,0.0,0,17.33,90,20,0.0,0,-0.62,0
0.604,0.0,0.0,0,17.89,91,21,0.0,0,-0.6,0
0.711,0.0,0.0,0,17.72,90,22,0.0,0,-0.71,0
0.694,0.0,0.0,0,17.33,89,23,0.0,0,-0.69,0
0.721,0.0,0.0,0,18.34,93,0,0.0,0,-0.72,0
1.18,0.0,0.0,0,17.93,93,1,0.0,0,-1.18,0
0.493,0.0,0.0,0,18.48,93,2,0.0,0,-0.49,0
0.493,0.0,0.0,0,18.48,93,3,0.0,0,-0.49,0
0.457,0.0,0.0,0,18.68,93,4,0.0,0,-0.46,0
0.457,0.0,0.0,0,18.72,93,5,0.0,0,-0.46,0
0.458,0.0,0.0,0,19.04,93,6,0.0,0,-0.46,0
0.45,0.0,0.002,0,19.23,93,7,0.0,1,-0.45,0
0.657,0.0,0.006,0,19.59,93,8,0.01,1,-0.65,1
0.666,0.0,0.036,0,19.23,93,9,0.05,1,-0.63,1
0.646,0.0,0.096,0,19.23,93,10,0.13,1,-0.55,1
0.791,0.0,0.175,0,19.04,93,11,0.18,1,-0.62,1
1.888,0.0,0.222,0,17.93,93,12,0.11,1,-1.67,1
0.823,0.0,0.159,0,17.72,93,13,0.16,1,-0.66,1
1.59,0.0,0.074,0,17.57,93,14,0.04,1,-1.52,1
1.094,0.0,0.047,0,17.32,93,15,0.04,1,-1.05,1
0.447,0.0,0.011,0,17.01,93,16,0.02,1,-0.44,1
0.51,0.0,0.0,0,16.82,93,17,0.0,1,-0.51,1
0.536,0.0,0.0,0,15.72,93,18,0.0,1,-0.54,0
0.614,0.0,0.0,0,15.72,93,19,0.0,0,-0.61,0
0.701,0.0,0.0,0,15.72,93,20,0.0,0,-0.7,0
1.414,0.0,0.0,0,15.34,93,21,0.0,0,-1.41,0
0.8,0.0,0.0,0,15.72,93,22,0.0,0,-0.8,0
