normal_consume,consumption_in_period,autoconsume,temp_max,humidity,hour,taxa_autoconsumo,hora_partida,injection_tentativa,is_sunny
0.0,0.467,0.0,13.43,95,0,0.0,0,-0.47,0
0.0,0.577,0.0,13.9,95,1,0.0,0,-0.58,0
0.0,0.346,0.0,14.82,95,2,0.0,0,-0.35,0
0.0,0.27,0.0,14.82,95,3,0.0,0,-0.27,0
0.0,0.252,0.0,14.82,95,4,0.0,0,-0.25,0
0.0,0.255,0.0,15.82,95,5,0.0,0,-0.26,0
0.0,0.256,0.0,16.12,95,6,0.0,0,-0.26,0
0.0,0.263,0.0,16.82,93,7,0.0,1,-0.26,0
0.275,0.0,0.002,16.82,77,8,0.01,1,-0.27,0
0.331,0.0,0.0,16.82,76,9,0.0,1,-0.33,1
0.271,0.0,0.0,15.15,87,10,0.0,1,-0.27,1
0.25,0.0,0.022,14.04,94,11,0.08,1,-0.23,1
0.778,0.0,0.056,14.82,94,12,0.07,1,-0.72,1
0.496,0.0,0.007,14.82,95,13,0.01,1,-0.49,1
0.338,0.0,0.016,14.04,94,14,0.05,1,-0.32,1
0.362,0.0,0.001,13.82,94,15,0.0,1,-0.36,1
1.326,0.0,0.0,13.48,95,16,0.0,1,-1.33,1
0.631,0.0,0.0,12.32,95,17,0.0,1,-0.63,1
0.595,0.0,0.0,11.82,95,18,0.0,1,-0.6,0
2.089,0.0,0.0,11.77,95,19,0.0,0,-2.09,0
1.635,0.0,0.0,10.9,95,20,0.0,0,-1.64,0
0.637,0.0,0.0,11.21,95,21,0.0,0,-0.64,0
0.0,0.577,0.0,11.21,96,22,0.0,0,-0.58,0
0.0,0.566,0.0,10.82,96,23,0.0,0,-0.57,0
0.0,0.639,0.0,10.15,96,0,0.0,0,-0.64,0
0.0,0.51,0.0,9.59,96,1,0.0,0,-0.51,0
0.0,0.375,0.0,9.04,96,2,0.0,0,-0.38,0
0.0,0.345,0.0,9.04,96,3,0.0,0,-0.34,0
0.0,0.241,0.0,9.04,96,4,0.0,0,-0.24,0
0.0,0.237,0.0,7.93,95,5,0.0,0,-0.24,0
0.0,0.252,0.0,7.93,96,6,0.0,0,-0.25,0
0.0,0.974,0.0,8.82,96,7,0.0,1,-0.97,0
0.476,0.0,0.01,7.82,95,8,0.02,1,-0.47,0
0.15,0.0,0.083,8.82,96,9,0.36,1,-0.07,1
0.08,0.0,0.158,9.82,96,10,0.66,1,0.08,1
0.0,0.0,0.251,11.82,93,11,1.0,1,0.25,1
0.0,0.0,0.248,12.82,90,12,0.99,1,0.25,1
0.166,0.0,0.078,13.82,77,13,0.32,1,-0.09,1
0.01,0.0,0.22,13.82,73,14,0.96,1,0.21,1
0.023,0.0,0.272,14.82,72,15,0.91,1,0.25,1
0.251,0.0,0.053,13.82,73,16,0.18,1,-0.2,1
0.425,0.0,0.0,12.79,77,17,0.0,1,-0.42,1
0.97,0.0,0.0,10.57,82,18,0.0,1,-0.97,0
0.683,0.0,0.0,11.21,85,19,0.0,0,-0.68,0
0.73,0.0,0.0,10.66,87,20,0.0,0,-0.73,0
0.847,0.0,0.0,10.1,87,21,0.0,0,-0.85,0
0.0,0.681,0.0,9.54,89,22,0.0,0,-0.68,0
0.0,0.56,0.0,8.99,89,23,0.0,0,-0.56,0
0.0,0.521,0.0,9.04,87,0,0.0,0,-0.52,0
0.0,0.338,0.0,7.93,89,1,0.0,0,-0.34,0
0.0,0.271,0.0,7.93,90,2,0.0,0,-0.27,0
0.0,0.259,0.0,7.37,91,3,0.0,0,-0.26,0
0.0,0.247,0.0,6.82,92,4,0.0,0,-0.25,0
0.0,0.263,0.0,7.37,92,5,0.0,0,-0.26,0
0.0,0.274,0.0,7.93,89,6,0.0,0,-0.27,0
0.0,0.813,0.0,7.93,88,7,0.0,1,-0.81,0
0.301,0.0,0.081,7.93,86,8,0.21,1,-0.22,0
0.0,0.0,0.325,8.48,86,9,1.02,1,0.32,1
0.0,0.0,0.271,10.7,79,10,1.0,1,0.27,1
0.0,0.0,0.261,11.26,76,11,1.0,1,0.26,1
0.368,0.0,0.614,12.93,68,12,0.63,1,0.25,1
0.06,0.0,0.495,12.93,70,13,0.9,1,0.44,1
0.0,0.0,0.255,13.82,65,14,0.98,1,0.26,1
0.023,0.0,0.221,14.82,68,15,0.92,1,0.2,1
0.175,0.0,0.065,13.82,71,16,0.27,1,-0.11,1
0.23,0.0,0.0,12.82,72,17,0.0,1,-0.23,1
0.858,0.0,0.0,11.26,80,18,0.0,1,-0.86,0
0.843,0.0,0.0,10.15,82,19,0.0,0,-0.84,0
0.463,0.0,0.0,9.59,84,20,0.0,0,-0.46,0
0.854,0.0,0.0,10.15,84,21,0.0,0,-0.85,0
0.0,1.514,0.0,9.59,84,22,0.0,0,-1.51,0
0.0,0.609,0.0,9.59,79,23,0.0,0,-0.61,0
0.0,0.592,0.0,9.04,83,0,0.0,0,-0.59,0
0.0,0.579,0.0,9.04,82,1,0.0,0,-0.58,0
0.0,0.531,0.0,9.04,77,2,0.0,0,-0.53,0
0.0,0.264,0.0,8.48,81,3,0.0,0,-0.26,0
0.0,0.266,0.0,9.04,77,4,0.0,0,-0.27,0
0.0,0.265,0.0,9.04,75,5,0.0,0,-0.26,0
0.0,0.299,0.0,9.04,75,6,0.0,0,-0.3,0
0.0,1.245,0.0,6.82,97,7,0.0,1,-1.25,0
0.369,0.0,0.092,6.82,97,8,0.2,1,-0.28,0
0.0,0.0,0.367,10.15,69,9,0.99,1,0.37,1
0.0,0.0,0.367,11.82,65,10,0.99,1,0.37,1
0.0,0.0,0.361,13.48,60,11,1.0,1,0.36,1
0.0,0.0,0.281,14.04,66,12,1.0,1,0.28,1
0.0,0.0,0.252,14.82,69,13,1.01,1,0.25,1
0.0,0.0,0.288,15.82,64,14,0.99,1,0.29,1
0.204,0.0,0.324,15.34,67,15,0.61,1,0.12,1
0.21,0.0,0.042,14.79,69,16,0.17,1,-0.17,1
0.304,0.0,0.0,14.23,70,17,0.0,1,-0.3,1
1.174,0.0,0.0,12.93,73,18,0.0,1,-1.17,0
1.826,0.0,0.0,12.37,75,19,0.0,0,-1.83,0
1.262,0.0,0.0,11.82,79,20,0.0,0,-1.26,0
0.808,0.0,0.0,11.26,85,21,0.0,0,-0.81,0
0.0,0.662,0.0,10.7,86,22,0.0,0,-0.66,0
0.0,0.472,0.0,10.15,84,23,0.0,0,-0.47,0
0.0,0.418,0.0,10.7,80,0,0.0,0,-0.42,0
0.0,0.361,0.0,7.79,92,1,0.0,0,-0.36,0
0.0,0.357,0.0,8.34,91,2,0.0,0,-0.36,0
0.0,0.319,0.0,7.82,93,3,0.0,0,-0.32,0
0.0,0.308,0.0,7.23,94,4,0.0,0,-0.31,0
0.0,0.303,0.0,6.77,95,5,0.0,0,-0.3,0
0.0,0.308,0.0,7.23,94,6,0.0,0,-0.31,0
0.0,0.829,0.0,6.82,95,7,0.0,1,-0.83,0
0.381,0.0,0.094,6.12,94,8,0.2,1,-0.29,0
0.0,0.0,0.335,7.82,92,9,0.99,1,0.34,1
0.336,0.0,0.616,12.37,58,10,0.65,1,0.28,1
0.0,0.0,0.337,13.48,58,11,0.99,1,0.34,1
0.057,0.0,0.424,14.04,61,12,0.88,1,0.37,1
0.0,0.0,0.343,14.59,62,13,1.01,1,0.34,1
0.0,0.0,0.292,15.82,67,14,1.01,1,0.29,1
0.0,0.0,0.293,15.82,57,15,1.01,1,0.29,1
0.247,0.0,0.049,15.82,60,16,0.16,1,-0.2,1
0.321,0.0,0.0,13.82,65,17,0.0,1,-0.32,1
0.89,0.0,0.0,11.82,69,18,0.0,1,-0.89,0
1.752,0.0,0.0,10.7,73,19,0.0,0,-1.75,0
0.817,0.0,0.0,9.82,78,20,0.0,0,-0.82,0
1.256,0.0,0.0,9.04,81,21,0.0,0,-1.26,0
0.0,2.771,0.0,8.82,83,22,0.0,0,-2.77,0
0.0,2.215,0.0,7.82,92,23,0.0,0,-2.22,0
0.0,1.78,0.0,7.93,85,0,0.0,0,-1.78,0
0.0,0.95,0.0,6.82,92,1,0.0,0,-0.95,0
0.0,0.713,0.0,6.82,93,2,0.0,0,-0.71,0
