date,normal_consume,consumption_in_period,autoconsume,temp,feels_like,temp_min,temp_max,humidity,rain_1h,clouds_all,weather_description,dew_point,day,month,year,day_of_week,hour,isFeriado,hour_str,Data,is_weekend,Estacao_do_Ano,vacaciones,consumo_total,taxa_autoconsumo,hora_partida,injection_tentativa,is_sunny
2023-01-01 00:00:00,0.0,0.467,0.0,12.93,12.76,12.72,13.43,95,3.72,100,6,11.65,1,1,2023,6,0,1,0,2023-01-01,True,0,1,0.47,0.0,0,-0.47,0
2023-01-01 01:00:00,0.0,0.577,0.0,13.49,13.38,13.43,13.9,95,3.26,100,6,12.22,1,1,2023,6,1,1,1,2023-01-01,True,0,0,0.58,0.0,0,-0.58,0
2023-01-01 02:00:00,0.0,0.346,0.0,13.55,13.44,13.48,14.82,95,2.44,100,6,12.26,1,1,2023,6,2,1,2,2023-01-01,True,0,0,0.35,0.0,0,-0.35,0
2023-01-01 03:00:00,0.0,0.27,0.0,13.61,13.51,12.01,14.82,95,1.74,100,6,12.31,1,1,2023,6,3,1,3,2023-01-01,True,0,0,0.27,0.0,0,-0.27,0
2023-01-01 04:00:00,0.0,0.252,0.0,13.59,13.49,12.01,14.82,95,1.13,100,6,12.3,1,1,2023,6,4,1,4,2023-01-01,True,0,0,0.25,0.0,0,-0.25,0
2023-01-01 05:00:00,0.0,0.255,0.0,13.7,13.61,13.12,15.82,95,1.23,99,6,12.39,1,1,2023,6,5,1,5,2023-01-01,True,0,0,0.26,0.0,0,-0.26,0
2023-01-01 06:00:00,0.0,0.256,0.0,14.22,14.18,14.04,16.12,95,1.2,100,6,12.9,1,1,2023,6,6,1,6,2023-01-01,True,0,0,0.26,0.0,0,-0.26,0
2023-01-01 07:00:00,0.0,0.263,0.0,15.3,15.31,14.79,16.82,93,2.2,100,6,13.66,1,1,2023,6,7,1,7,2023-01-01,True,0,0,0.26,0.0,1,-0.26,0
2023-01-01 08:00:00,0.275,0.0,0.002,16.8,16.55,15.66,16.82,77,2.2,100,6,12.27,1,1,2023,6,8,1,8,2023-01-01,True,0,0,0.28,0.01,1,-0.27,0
2023-01-01 09:00:00,0.331,0.0,0.0,16.61,16.31,14.72,16.82,76,2.13,100,6,11.92,1,1,2023,6,9,1,9,2023-01-01,True,0,0,0.33,0.0,1,-0.33,1
2023-01-01 10:00:00,0.271,0.0,0.0,15.03,14.86,13.72,15.15,87,2.04,100,6,12.42,1,1,2023,6,10,1,10,2023-01-01,True,0,0,0.27,0.0,1,-0.27,1
2023-01-01 11:00:00,0.25,0.0,0.022,13.76,13.65,13.34,14.04,94,3.1,100,6,12.33,1,1,2023,6,11,1,11,2023-01-01,True,0,0,0.27,0.08,1,-0.23,1
2023-01-01 12:00:00,0.778,0.0,0.056,14.1,14.02,13.34,14.82,94,4.96,100,7,12.64,1,1,2023,6,12,1,12,2023-01-01,True,0,0,0.83,0.07,1,-0.72,1
2023-01-01 13:00:00,0.496,0.0,0.007,14.1,14.05,13.9,14.82,95,6.11,100,7,12.81,1,1,2023,6,13,1,13,2023-01-01,True,0,0,0.5,0.01,1,-0.49,1
2023-01-01 14:00:00,0.338,0.0,0.016,13.92,13.82,12.72,14.04,94,6.38,100,7,12.5,1,1,2023,6,14,1,14,2023-01-01,True,0,0,0.35,0.05,1,-0.32,1
2023-01-01 15:00:00,0.362,0.0,0.001,13.5,13.36,12.57,13.82,94,6.16,100,7,12.06,1,1,2023,6,15,1,15,2023-01-01,True,0,0,0.36,0.0,1,-0.36,1
2023-01-01 16:00:00,1.326,0.0,0.0,13.3,13.17,11.68,13.48,95,5.42,100,7,12.06,1,1,2023,6,16,1,16,2023-01-01,True,0,0,1.33,0.0,1,-1.33,1
2023-01-01 17:00:00,0.631,0.0,0.0,11.83,11.55,11.72,12.32,95,3.76,100,6,10.56,1,1,2023,6,17,1,17,2023-01-01,True,0,0,0.63,0.0,1,-0.63,1
2023-01-01 18:00:00,0.595,0.0,0.0,11.32,10.99,11.26,11.82,95,2.03,100,6,10.05,1,1,2023,6,18,1,18,2023-01-01,True,0,0,0.6,0.0,1,-0.6,0
2023-01-01 19:00:00,2.089,0.0,0.0,10.73,10.34,10.57,11.77,95,1.3,100,6,9.48,1,1,2023,6,19,1,19,2023-01-01,True,0,0,2.09,0.0,0,-2.09,0
2023-01-01 20:00:00,1.635,0.0,0.0,10.7,10.31,10.01,10.9,95,0.85,100,5,9.45,1,1,2023,6,20,1,20,2023-01-01,True,0,0,1.64,0.0,0,-1.64,0
2023-01-01 21:00:00,0.637,0.0,0.0,10.72,10.33,9.79,11.21,95,0.5,90,5,9.46,1,1,2023,6,21,1,21,2023-01-01,True,0,0,0.64,0.0,0,-0.64,0
2023-01-01 22:00:00,0.0,0.577,0.0,10.23,9.82,9.23,11.21,96,0.31,72,5,9.11,1,1,2023,6,22,1,22,2023-01-01,True,0,0,0.58,0.0,0,-0.58,0
2023-01-01 23:00:00,0.0,0.566,0.0,10.2,9.78,9.23,10.82,96,0.26,47,5,9.09,1,1,2023,6,23,1,23,2023-01-01,True,0,0,0.57,0.0,0,-0.57,0
2023-01-02 00:00:00,0.0,0.639,0.0,10.02,9.58,8.68,10.15,96,0.15,37,5,8.94,2,1,2023,0,0,0,0,2023-01-02,False,0,0,0.64,0.0,0,-0.64,0
2023-01-02 01:00:00,0.0,0.51,0.0,9.51,9.51,8.12,9.59,96,0.24,34,5,8.43,2,1,2023,0,1,0,1,2023-01-02,False,0,0,0.51,0.0,0,-0.51,0
2023-01-02 02:00:00,0.0,0.375,0.0,9.01,9.01,8.12,9.04,96,0.19,46,5,7.93,2,1,2023,0,2,0,2,2023-01-02,False,0,0,0.38,0.0,0,-0.38,0
2023-01-02 03:00:00,0.0,0.345,0.0,8.92,8.92,7.72,9.04,96,0.22,44,5,7.85,2,1,2023,0,3,0,3,2023-01-02,False,0,0,0.34,0.0,0,-0.34,0
2023-01-02 04:00:00,0.0,0.241,0.0,8.92,8.92,7.72,9.04,96,0.37,44,5,7.85,2,1,2023,0,4,0,4,2023-01-02,False,0,0,0.24,0.0,0,-0.24,0
2023-01-02 05:00:00,0.0,0.237,0.0,7.91,7.91,7.57,7.93,95,0.47,57,5,6.67,2,1,2023,0,5,0,5,2023-01-02,False,0,0,0.24,0.0,0,-0.24,0
2023-01-02 06:00:00,0.0,0.252,0.0,7.92,7.92,7.72,7.93,96,0.14,55,5,6.83,2,1,2023,0,6,0,6,2023-01-02,False,0,0,0.25,0.0,0,-0.25,0
2023-01-02 07:00:00,0.0,0.974,0.0,8.0,6.96,7.01,8.82,96,0.0,100,3,6.89,2,1,2023,0,7,0,7,2023-01-02,False,0,0,0.97,0.0,1,-0.97,0
2023-01-02 08:00:00,0.476,0.0,0.01,7.4,5.89,6.68,7.82,95,0.0,100,3,6.16,2,1,2023,0,8,0,8,2023-01-02,False,0,0,0.49,0.02,1,-0.47,0
2023-01-02 09:00:00,0.15,0.0,0.083,8.5,7.08,7.01,8.82,96,0.0,100,3,7.4,2,1,2023,0,9,0,9,2023-01-02,False,0,0,0.23,0.36,1,-0.07,1
2023-01-02 10:00:00,0.08,0.0,0.158,9.56,8.51,7.57,9.82,96,0.0,100,3,8.47,2,1,2023,0,10,0,10,2023-01-02,False,0,0,0.24,0.66,1,0.08,1
2023-01-02 11:00:00,0.0,0.0,0.251,10.71,10.26,9.54,11.82,93,0.0,96,3,9.13,2,1,2023,0,11,0,11,2023-01-02,False,0,0,0.25,1.0,1,0.25,1
2023-01-02 12:00:00,0.0,0.0,0.248,10.87,10.36,9.23,12.82,90,0.0,39,4,8.77,2,1,2023,0,12,0,12,2023-01-02,False,0,0,0.25,0.99,1,0.25,1
2023-01-02 13:00:00,0.166,0.0,0.078,12.94,12.3,10.66,13.82,77,0.0,21,1,8.52,2,1,2023,0,13,0,13,2023-01-02,False,0,0,0.24,0.32,1,-0.09,1
2023-01-02 14:00:00,0.01,0.0,0.22,13.0,12.26,12.57,13.82,73,0.0,27,4,7.8,2,1,2023,0,14,0,14,2023-01-02,False,0,0,0.23,0.96,1,0.21,1
2023-01-02 15:00:00,0.023,0.0,0.272,12.57,11.76,11.77,14.82,72,0.0,26,4,7.14,2,1,2023,0,15,0,15,2023-01-02,False,0,0,0.3,0.91,1,0.25,1
2023-01-02 16:00:00,0.251,0.0,0.053,12.0,11.16,11.45,13.82,73,0.0,26,4,6.81,2,1,2023,0,16,0,16,2023-01-02,False,0,0,0.3,0.18,1,-0.2,1
2023-01-02 17:00:00,0.425,0.0,0.0,11.33,10.53,10.34,12.79,77,0.0,27,4,6.95,2,1,2023,0,17,0,17,2023-01-02,False,0,0,0.42,0.0,1,-0.42,1
2023-01-02 18:00:00,0.97,0.0,0.0,10.12,9.33,9.23,10.57,82,0.0,20,1,6.71,2,1,2023,0,18,0,18,2023-01-02,False,0,0,0.97,0.0,1,-0.97,0
2023-01-02 19:00:00,0.683,0.0,0.0,9.52,9.52,6.93,11.21,85,0.0,20,1,6.64,2,1,2023,0,19,0,19,2023-01-02,False,0,0,0.68,0.0,0,-0.68,0
2023-01-02 20:00:00,0.73,0.0,0.0,8.93,8.93,6.38,10.66,87,0.0,20,1,6.4,2,1,2023,0,20,0,20,2023-01-02,False,0,0,0.73,0.0,0,-0.73,0
2023-01-02 21:00:00,0.847,0.0,0.0,9.29,9.29,5.82,10.1,87,0.0,10,0,6.79,2,1,2023,0,21,0,21,2023-01-02,False,0,0,0.85,0.0,0,-0.85,0
2023-01-02 22:00:00,0.0,0.681,0.0,8.86,8.53,4.71,9.54,89,0.0,5,0,6.67,2,1,2023,0,22,0,22,2023-01-02,False,0,0,0.68,0.0,0,-0.68,0
2023-01-02 23:00:00,0.0,0.56,0.0,8.36,7.76,4.71,8.99,89,0.0,9,0,6.16,2,1,2023,0,23,0,23,2023-01-02,False,0,0,0.56,0.0,0,-0.56,0
2023-01-03 00:00:00,0.0,0.521,0.0,8.82,8.39,4.71,9.04,87,0.0,43,4,6.31,3,1,2023,1,0,0,0,2023-01-03,False,0,0,0.52,0.0,0,-0.52,0
2023-01-03 01:00:00,0.0,0.338,0.0,7.87,6.55,4.23,7.93,89,0.0,63,2,5.68,3,1,2023,1,1,0,1,2023-01-03,False,0,0,0.34,0.0,0,-0.34,0
2023-01-03 02:00:00,0.0,0.271,0.0,7.77,5.87,4.23,7.93,90,0.0,99,3,5.75,3,1,2023,1,2,0,2,2023-01-03,False,0,0,0.27,0.0,0,-0.27,0
