date,normal_consume,consumption_in_period,autoconsume,injection,temp,feels_like,temp_min,temp_max,humidity,rain_1h,clouds_all,weather_description,dew_point,day,month,year,day_of_week,hour,isFeriado,hour_str,Data,is_weekend,Estacao_do_Ano,vacaciones,consumo_total,taxa_autoconsumo,hora_partida,injection_tentativa,is_sunny
2021-10-30 00:00:00,0.528,0.0,0.0,0,17.9,18.17,17.23,18.68,93,1.16,100,6,16.27,30,10,2021,5,0,0,0,2021-10-30,True,3,0,0.53,0.0,0,-0.53,0
2021-10-30 01:00:00,0.404,0.0,0.0,0,16.81,16.97,16.12,16.82,93,0.54,89,5,15.19,30,10,2021,5,1,0,1,2021-10-30,True,3,0,0.4,0.0,0,-0.4,0
2021-10-30 02:00:00,0.308,0.0,0.0,0,15.72,15.78,15.01,16.72,93,0.15,97,5,14.1,30,10,2021,5,2,0,2,2021-10-30,True,3,0,0.31,0.0,0,-0.31,0
2021-10-30 03:00:00,0.308,0.0,0.0,0,15.72,15.78,15.01,16.72,93,0.0,96,3,14.1,30,10,2021,5,3,0,3,2021-10-30,True,3,0,0.31,0.0,0,-0.31,0
2021-10-30 04:00:00,0.395,0.0,0.0,0,15.68,15.73,15.01,15.72,93,0.0,97,3,14.07,30,10,2021,5,4,0,4,2021-10-30,True,3,0,0.4,0.0,0,-0.4,0
2021-10-30 05:00:00,0.309,0.0,0.0,0,15.68,15.73,14.79,15.72,93,0.0,100,3,14.07,30,10,2021,5,5,0,5,2021-10-30,True,3,0,0.31,0.0,0,-0.31,0
2021-10-30 06:00:00,0.307,0.0,0.0,0,15.13,15.13,14.54,15.15,93,0.0,100,3,13.52,30,10,2021,5,6,0,6,2021-10-30,True,3,0,0.31,0.0,0,-0.31,0
2021-10-30 07:00:00,0.31,0.0,0.0,0,15.15,15.15,14.45,15.72,93,0.0,100,3,13.54,30,10,2021,5,7,0,7,2021-10-30,True,3,0,0.31,0.0,1,-0.31,0
2021-10-30 08:00:00,0.276,0.0,0.014,0,15.65,15.7,14.45,15.72,93,0.0,100,3,14.05,30,10,2021,5,8,0,8,2021-10-30,True,3,0,0.29,0.05,1,-0.26,1
2021-10-30 09:00:00,0.179,0.0,0.153,1,16.23,16.34,15.01,16.72,93,0.0,93,3,14.61,30,10,2021,5,9,0,9,2021-10-30,True,3,0,0.33,0.46,1,-0.03,1
